gap_id,topic,status,required_closure,consequence_until_closed
GAP01,Atlas graphical camera panel,open,Primary artifact with exact models versions values axes trials and uncertainty,No reconstructed camera leaderboard
GAP02,Atlas reconstruction chart numbers,open,Primary numerical table and full protocol,Named comparator audit is not numeric Atlas reproduction
GAP03,VGGT-Omega 1B notice,open,Checkpoint identity and affected benchmark overlap or author resolution,Quarantine affected reported paper rows
GAP04,Uneven literature depth,open,Full method result and release review for implementation shortlist,Abstract-only entries are discovery coverage
GAP05,Model and robot experiments,not_run,Execute E0 F1 F2 F3 F4 E1 E2 E3 as applicable,No Recomo performance or safety claim
GAP06,Original conversation v2 bytes,pending,Hash-verified separate archival import,Historical repo v2 is not a lossless copy
GAP07,Rendered v4 publications,not_run,Build PDF DOCX PPTX and visually inspect every page or slide,Markdown source edition only
GAP08,Rights and model release access,open,Pin code weights data output redistribution and teacher terms,No commercial dependency clearance
GAP09,HY2 excerpt metric convention,partial,Resolve full rotation and alignment semantics before external comparison,Preserve source-native values only
GAP10,Translation independence,not_certified,Independent bilingual technical review,Matching structure is not certified semantic equivalence
GAP11,24GB serving,not_measured,Profile full declared configuration including host and device resources,No inference-fit or latency guarantee
GAP12,External source snapshots,partial,Record revision or content digest for changing release documents,Checked date does not make a mutable source immutable
